No.;Quantity;Comment;Designator;Footprint;Value;Manufacturer Part;Manufacturer;Supplier Part;Supplier;Primary Category;Secondary Category;LCSC Stock;LCSC Price;Device;Name;Description;JLCPCB Part Class;LCSC Part Name;Mounting Type;Noise;Power(Watts);Voltage-Supply(Max);Voltage Rating (Max);JLCPCB Stock;JLCPCB Price;Mounting Style
23;1;DB128L-5.08-2P-BK-S;U3;CONN-TH_2P-P5.08_DB128L-5.08-2P-BK-S;;DB128L-5.08-2P-BK-S;DORABO(地博电气);C430601;LCSC;Connectors;Screw Terminal Blocks;;;DB128L-5.08-2P-BK-S;DB128L-5.08-2P-BK-S;Number of Positions or Pins:1x2P Pitch:5.08mm Color:Black Mounting Type:Through Hole Number of Pins:2P Number of Rows:1 Number of PINs Per Row:2 Screw Specification:M2 Current Rating:16A Voltage Rating (Max):300V Wire Gauge - AWG:12~22 Wire Gauge - AWG:12;Extended Part;1x2P 5.08mm 直插 排数:1 每排P数:2;Through Hole;;;;300V;51389;0.03;DIP
24;1;TMPS10-112;U4;TMPS10-112;;;;;Traco Power;;;;;TMPS10-112;TMPS10-112;;;;;;;;;;;DIP
25;10;PESD5V0S2BT;U5,U6,U7,U18,U19,U20,U21,U22,U23,U32;SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR;;PESD5V0S2BT;HXY MOSFET(华轩阳电子);C5451656;LCSC;;;;;PESD5V0S2BT_C5451656;PESD5V0S2BT;Polarity:Bidirectional Reverse Stand-Off Voltage (Vrwm):5V Clamping Voltage:9V Peak Pulse Current (Ipp):11A Peak Pulse Power Dissipation (Ppp):100W Voltage - Breakdown:6V Reverse Leakage Current (Ir):1uA Number of Channels:2 Operating Temperature:-55℃~+12;Extended Part;双向ESD 5V截止 峰值脉冲电流：11A;;;;;;29300;0.0044;SMT
26;2;B254N02-0B7P51-H85C32;U11,U12;HDR-TH_7P-P2.54-V-F;;B254N02-0B7P51-H85C32;JXTCONN(聚兴泰);C41426870;LCSC;Connectors;Female Headers;;;B254N02-0B7P51-H85C32;B254N02-0B7P51-H85C32;Holes Structure:1x7P Pitch:2.54mm Circular Hole / Square Hole:Square Hole Mounting Type:Through Hole Number of Rows:1 Number of Positions:7P Current Rating:3A Holes Direction:Top Contact Material:Copper Alloy Operating Temperature:-40℃~+105℃ Operating Tem;Extended Part;1x7P 间距:2.54mm 直插;Through Hole;;;;;1963;0.0197;DIP
27;1;FPC 0.5-14P LTH2.0;U17;FPC-SMD_14P-P0.50_FPC-0.5-14PLTH2.0;;FPC 0.5-14P LTH2.0;SHOU HAN(首韩);C6081225;LCSC;Connectors;FFC, FPC (Flat Flexible) Connector Assemblies;;;FPC 0.5-14P LTH2.0;FPC 0.5-14P LTH2.0;Locking Feature:Slide Lock Contact Type:Single-side Contact/Vertical Number of Contacts:14P Pitch:0.5mm Mounting Type:Surface Mount,Vertical FFC, FCB Thickness:0.3mm FFC, FCB Thickness:0.3mm Height Above Board:2mm Contact Material:Phosphor Bronze Contact;Extended Part;0.5-14P立贴正脚 编带;Surface Mount,Vertical;;;;;1843;0.0153;SMT
28;1;PCA9685PW,118;U26;TSSOP-28_L9.7-W4.4-P0.65-LS6.4-TL;-;PCA9685PW,118;NXP(恩智浦);C2678753;LCSC;LED Drivers;LED Drivers;;;PCA9685PW,118;PCA9685PW,118;Type:- Voltage - Input(DC):2.3V~5.5V Voltage - Input(DC):2.3V~5.5V Frequency - Switching:100kHz~1MHz Frequency - Switching:100kHz~1MHz Number of Channels:16 Output Voltage:- Output Voltage:- Output Current:25mA Dimming:PWM Operating temperature:-40℃~+85℃;Extended Part;16通道、12位PWM Fm+ I2C总线LED控制器;;;;;;714;0.4117;SMT
29;1;10kΩ;U27;R0402;10kΩ;FRC0402F1002TS;FOJAN(富捷);C2906861;LCSC;Resistors;Chip Resistor - Surface Mount;;;FRC0402F1002TS;10kΩ;Type:Thick Film Resistor Resistance:10kΩ Tolerance:±1% Tolerance:±1% Power(Watts):62.5mW Voltage-Supply(Max):50V Temperature Coefficient:±100ppm/℃ Temperature Coefficient:±100ppm/℃ Operating Temperature:-55℃~+155℃ Operating Temperature:-55℃~+155℃;Extended Part;10kΩ ±1% 62.5mW 厚膜电阻;;;62.5mW;50V;;6524898;0.0001;SMT
30;2;KF128-2.54-2P;U28,U29;CONN-TH_P2.54_KF128-2.54-2P;;KF128-2.54-2P;KEFA(科发);C474920;LCSC;Connectors;Screw Terminal Blocks;;;KF128-2.54-2P;KF128-2.54-2P;Structure:1x2P Pitch:2.54mm Color:Green Mounting Style:Straight Current Rating (Max):8A Voltage Rating (Max):130V Number of Pins:2P Number of Rows:1 Wire Gauge - AWG:18~26 Wire Gauge - AWG:18~26 Wire Gauge - mm2:1 Wire Gauge - mm2:1 Number of PINs Per Row;Extended Part;2.54mm 1x2P 排数:1 每排P数:2 直插;;;;;130V;9842;0.0339;DIP
31;2;KF128-2.54-4P;U30,U31;CONN-TH_4P-P2.54_KF128-2.54-4P;;KF128-2.54-4P;KEFA(科发);C474922;LCSC;Connectors;Screw Terminal Blocks;;;KF128-2.54-4P;KF128-2.54-4P;Number of Positions or Pins:1x4P Pitch:2.54mm Color:Green Mounting Type:Through Hole Number of Pins:4P Number of Rows:1 Number of PINs Per Row:4 Current Rating:8A Voltage Rating (Max):130V Wire Gauge - AWG:18~26 Wire Gauge - mm2:1 Wire Gauge - mm2:1 Opera;Extended Part;1x4P 2.54mm 直插 排数:1 每排P数:4;Through Hole;;;;130V;2846;0.0693;DIP
32;1;AP63203WU-7;U37;TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL;;AP63203WU-7;DIODES(美台);C780769;LCSC;Power Management (PMIC);DC-DC Converters;;;AP63203WU-7;AP63203WU-7;Function:Buck Voltage - Supply:3.8V~32V Voltage - Supply:3.8V~32V Output Voltage:3.3V Output Voltage:3.3V Output Current:2A Frequency - Switching:1.1MHz Frequency - Switching:1.1MHz Operating Temperature:-40℃~+85℃@(TA) Operating Temperature:-40℃~+85℃@(TA);Extended Part;3.8V至32V输入、2A低静态电流同步降压转换器，增强EMI抑制;;;;;;26980;0.081;SMT
33;1;AP63205WU-7;U39;TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL;;AP63205WU-7;DIODES(美台);C2071056;LCSC;Power Management (PMIC);DC-DC Converters;;;AP63205WU-7;AP63205WU-7;Function:Buck Voltage - Supply:3.8V~32V Voltage - Supply:3.8V~32V Output Voltage:5V Output Voltage:5V Output Current:2A Frequency - Switching:1.1MHz Frequency - Switching:1.1MHz Operating Temperature:-40℃~+85℃@(TA) Operating Temperature:-40℃~+85℃@(TA) Syn;Extended Part;3.8V至32V输入、2A低静态电流同步降压转换器，增强EMI抑制;;;;;;11226;0.0583;SMT
34;1;220pF@1kHz;V1;RES-TH_L12.5-W5.1-P7.50-D0.9-S5.10;;B72210S0271K101;TDK;C125511;LCSC;;;;;220pF@1kHz;220pF@1kHz;;Extended Part;;;;;;;3478;0.017;DIP
;;;;;;;;;;;;;;;;;;;;;;;;;;
